idx,audiocap_id,original_caption,neg_minimal_semantic_flip_gpt,neg_meaning_flip_claude,neg_visual_only_details,neg_reasoning_inference,neg_hallucinations,neg_quantitative_distortion,neg_partial_contradiction,neg_causal_inconsistency,neg_acoustic_scale_violation,neg_scene_coherence_violation,neg_different_words_different_meaning,neg_reasoning,neg_visual_info,neg_partial_hallucinations,neg_missing_info,neg_wrong_lex_sim,neg_wrong_lex_diff
10,103938,Thunder and a gentle rain,Silence and a harsh drought,Thunder and a harsh rain,Thunder and a gentle rain falling on a dark forest with tall pine trees.,"Thunder and a gentle rain, as if the sky is releasing its pent-up frustration after a long, dry spell.",Thunder rumbles deeply over a misty countryside while a gentle rain patters softly on oak leaves in a quiet forest clearing.,Thunder and a deafening rain,Soundless thunder and a gentle rain,Thunder and a gentle rain,A single raindrop overpowers thunder and a gentle rain.,Thunder and a gentle rain while dry leaves crackle underfoot.,A saxophone wails in a smoky jazz club as glasses clink and footsteps tap on hardwood floors.,"Thunder and a gentle rain, as if the sky is releasing its pent-up frustration after a long, dry spell.",Thunder and a gentle rain falling on a dark forest with tall pine trees.,Wind howling and a gentle rain,Thunder is heard.,Thunder and a harsh rain,A saxophone wails in a dimly lit jazz club as glasses clink and footsteps shuffle across wooden floors.
11,103939,A woman talks and a baby whispers,A woman whispers and a baby talks,A baby talks and a woman whispers,A woman in a blue dress talks while holding a baby in a yellow onesie who whispers next to a window.,"A woman talks and a baby whispers, the baby trying to mimic her words with innocent curiosity.",A woman in a cozy living room talks softly to a newborn baby who whispers faintly while wrapped in a blue blanket.,A woman talks and a baby shouts,A woman talks and a baby loudly whispers,A woman talks and a baby whispers,A baby's whisper overpowers a woman talking.,A woman talks and a baby whispers while ocean waves crash nearby.,Metal gears grind in a dim factory as steam hisses from pipes overhead.,"A woman talks and a baby whispers, the baby trying to mimic her words with innocent curiosity.","A woman in a blue dress talks while holding a baby in a yellow onesie who whispers, sitting on a wooden chair near a window.",A woman talks and a child giggles,A woman talks.,A baby talks and a woman whispers,Metal gears grind loudly inside a factory machine as steam hisses from a nearby pipe.
12,103543,A man talking as a stream of water trickles in the background,A man silent as a stream of water roars in the background,A stream of water talking as a man trickles in the background,A bearded man wearing a blue shirt is talking while standing next to a window as a stream of water trickles in the background,"A man talking as a stream of water trickles in the background, calmly reflecting on his day while sitting by the creek.","A man in his late 30s, wearing a navy blue sweater, speaks softly about childhood memories while a gentle stream of water trickles over smooth river stones in a secluded forest glade.",A man talking as a stream of water roars loudly in the background,A man talking as a still stream of water trickles in the background,A man talking as a stream of water trickles in the background,A mouse's squeak drowns out a man talking as a stream of water trickles in the background,A man talking as a stream of water trickles in the background while dry leaves crackle underfoot.,Metallic clinks echo as a chef chops vegetables on a wooden board in a bustling kitchen.,"A man talking as a stream of water trickles in the background, calmly reflecting on his day while sitting by a peaceful creek.",A bearded man wearing a blue shirt is talking while standing next to a window as a stream of water trickles in the background,A man talking as rain drips from eaves in the background,A man is talking.,A stream of water talking as a man trickles in the background,Metallic clinks echo as a chef chops vegetables on a wooden board in a bustling kitchen.
13,104278,A person briefly talks followed quickly by toilet flushing and another voice from another person,A person briefly talks followed quickly by toilet flushing and another voice from the same person,A person briefly talks followed quickly by toilet flushing and another voice from the same person,"A person in a white shirt briefly talks while standing in a bathroom, followed quickly by toilet flushing and another voice from a bearded man sitting on a wooden chair nearby.","A person briefly talks, perhaps finishing a conversation, followed quickly by toilet flushing as if to signal the end of their presence, and another voice from another person chimes in, likely reacting to the situation with mild amusement.","A young woman in a cozy bathroom speaks briefly, followed quickly by the flush of a modern porcelain toilet, then a man with a deep voice from the hallway responds with a chuckle.",A person talks continuously for several minutes followed quickly by toilet flushing and another voice from another person,A person briefly talks followed quickly by silent toilet flushing and another voice from another person,Toilet flushing and another voice from another person followed quickly by a person briefly talks,A mouse's squeak drowns out a person briefly talking followed quickly by toilet flushing and another voice from another person,A person briefly talks followed quickly by toilet flushing and another voice from another person while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks shut.,"A person briefly talks, perhaps finishing a conversation, followed quickly by toilet flushing as if to signal the end of their presence, and another voice from another person chimes in, likely reacting to the situation with mild amusement.","A person in a white shirt briefly talks while standing in a bathroom, followed quickly by toilet flushing and another voice from a bearded man sitting on a wooden chair nearby.",A person briefly talks followed quickly by a faucet turning off and another voice from another person,Toilet flushing is heard.,A person briefly talks followed quickly by toilet flushing and another voice from the same person,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks shut.
14,104279,A woman singing then choking followed by birds chirping,A woman choking then singing followed by birds chirping,A woman choking then singing followed by birds chirping,"A young woman in a white dress singing on a wooden stage then choking while sitting on a stool, followed by birds chirping outside a window.","A woman singing then choking followed by birds chirping, as if she was overcome with emotion during a heartfelt performance, and the birds chirping signify the peaceful aftermath of her emotional moment.","A woman with a soulful voice sings passionately in a dimly lit jazz club, then suddenly chokes on her drink, followed by the cheerful chirping of sparrows outside the window.",A woman singing then choking followed by one bird chirping,A woman silently singing then choking followed by birds chirping,Birds chirping followed by a woman singing then choking,A mouse's squeak drowns out a woman singing then choking followed by birds chirping,A woman singing then choking followed by birds chirping while heavy rain pours overhead.,A train whistle echoes through a valley as gravel crunches under heavy boots.,"A woman singing then choking followed by birds chirping, as if she was overcome with emotion during a heartfelt performance, and the birds chirping seem to mark a peaceful moment after her distress.","A young woman in a white dress singing on a wooden stage then choking while sitting on a stool, followed by birds chirping outside a window.",A woman singing then coughing followed by birds chirping,Birds chirping.,A woman choking then singing followed by birds chirping,A train whistle echoes across a valley as wind rustles through tall grass.
15,104276,Machinery banging and hissing,Machinery whispering and sighing,Machinery silent and still,Machinery banging and hissing in a dimly lit industrial warehouse with rusted metal pipes overhead.,"Machinery banging and hissing, likely because it's overheating and about to shut down for safety.","Heavy industrial machinery banging and hissing loudly in a dimly lit factory warehouse, with sparks flying near a rusted conveyor belt.",Machinery banging and hissing softly,Silent machinery banging and hissing,Machinery banging and hissing,A falling leaf drowns out machinery banging and hissing,Machinery banging and hissing while ocean waves crash nearby.,Leaves rustle softly as distant thunder rumbles across the valley.,"Machinery banging and hissing, likely because it's overheating and about to shut down for safety.",Machinery banging and hissing in a dimly lit industrial warehouse with rusted metal pipes overhead.,Machinery clanking and whirring,Hissing is heard.,Machinery silent and still,Wind whistles through tall grass as distant thunder rumbles.
16,104277,A person talking which later imitates a couple of meow sounds,A person silent which later imitates a couple of meow sounds,A person meowing which later imitates a couple of talking sounds,"A young woman wearing a red sweater is talking while sitting on a wooden chair, later imitating a couple of meow sounds.","A person talking which later imitates a couple of meow sounds, playfully trying to entertain a cat nearby.","A young woman in a cozy apartment talks animatedly before playfully imitating two distinct meow sounds, as if mimicking her tabby cat nearby.",A person talking which later imitates one meow sound,A person talking which later imitates a couple of silent meow sounds,A couple of meow sounds which later a person talking,A whisper overpowers a person talking which later imitates a couple of meow sounds,A person talking which later imitates a couple of meow sounds while ocean waves crash loudly in the background.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A person talking which later imitates a couple of meow sounds, probably trying to entertain a cat or amuse someone nearby.","A young woman wearing a blue sweater is talking while sitting on a wooden chair, later imitating a couple of meow sounds.",A person talking which later imitates a couple of bark sounds,A person is talking.,A person meowing which later imitates a couple of talking sounds,Wind howls through narrow alleyways as distant thunder rumbles overhead.
17,104274,Rain is falling continuously,Rain is rising continuously,Rain is rising continuously,Rain is falling continuously on a red umbrella in a city street.,"Rain is falling continuously, as if the sky is crying in sorrow over the gloomy day.","Rain is falling continuously over a quiet coastal town, drumming softly on red-tiled roofs as seagulls cry in the distance.",Rain is falling briefly,Still rain is falling continuously,Rain is falling continuously,A single drop of rain overpowers rain falling continuously,Rain is falling continuously while dry leaves crackle underfoot.,A crowd cheers loudly as a trumpet blares during a halftime show.,"Rain is falling continuously because the storm system is stalled over the area, causing persistent downpours.",Rain is falling continuously on a red umbrella in a city street.,Rain is falling continuously,It is wet outside.,Rain is rising continuously,A crowd cheers loudly as a trumpet blares during a halftime show.
18,104275,An infant crying followed by a man laughing,An infant laughing followed by a man crying,An infant laughing followed by a man crying,A bald infant in a white onesie crying followed by a bearded man wearing a blue shirt laughing while sitting on a wooden chair.,"An infant crying followed by a man laughing, likely amused by the baby's sudden outburst and trying to lighten the mood.","A newborn baby cries softly in a cozy nursery, followed by a father laughing warmly while rocking the infant in a wooden chair.",An infant crying followed by one man laughing,An infant silently crying followed by a man laughing,A man laughing followed by an infant crying,A whispering moth overpowers an infant crying followed by a man laughing,An infant crying followed by a man laughing while heavy rain pours on a rooftop.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"An infant crying followed by a man laughing, likely amused by the baby's sudden outburst and trying to lighten the mood.",A chubby infant in a blue onesie crying followed by a bearded man in a plaid shirt laughing while sitting on a wooden chair.,A baby whimpering followed by a man laughing,A man is laughing.,An infant laughing followed by a man crying,Wind howls through narrow alleyways as distant thunder rumbles overhead.
19,104272,A man talking as a door slams shut followed by a door creaking,A man talking as a door opens gently followed by a door slamming,A door talking as a man slams shut followed by a door creaking,A bearded man in a suit is talking as a wooden door slams shut followed by a rusty door creaking in a dim hallway.,"A man talking as a door slams shut followed by a door creaking, likely in frustration after being interrupted, and now hesitantly opening the door again to check who’s there.","A man in a tweed jacket speaks urgently as a heavy oak door slams shut behind him, followed by the creak of a rusted metal door slowly swinging open in an old Victorian hallway.",A man talking as a door slams shut followed by several doors creaking,A man talking as a door slams shut followed by a soundless door creaking,A door creaking followed by a man talking as a door slams shut,A mouse's squeak overpowers a man talking as a door slams shut followed by a door creaking,A man talking as a door slams shut followed by a door creaking while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a streetlamp flickers on.,"A man talking as a door slams shut followed by a door creaking, likely in frustration after being interrupted, and now hesitantly opening the door again to check who’s there.",A bearded man in a blue shirt talking as a wooden door slams shut followed by a rusty door creaking in a dim hallway,A man talking as a window slams shut followed by a door creaking,A man is talking.,A door talking as a man slams shut followed by a door creaking,Wind howls through narrow alleyways as distant thunder rumbles and a streetlamp flickers on.
20,104270,Whistling with wind blowing,Whistling with wind calming,Whistling with wind sucking,Whistling with wind blowing through a tall pine tree in a snowy forest.,"Whistling with wind blowing, as if someone is trying to signal for help before a storm hits.","A young woman whistles a cheerful tune while standing on a windswept cliff overlooking the Atlantic Ocean, her hair blowing wildly in the salty breeze.",Whistling with wind blowing continuously for several minutes,Silent whistling with wind blowing,Whistling with wind blowing,A single falling leaf drowns out whistling with wind blowing,Whistling with wind blowing while dry leaves crackle underfoot.,A train rumbles past as passengers murmur in the station,"Whistling with wind blowing, as if someone is trying to signal for help before a storm hits.",Whistling with wind blowing through a tall pine tree in a snowy forest.,Whistling with leaves rustling,Wind blowing.,Whistling with wind calming,A train rumbles past as passengers murmur in the station
21,104271,Vehicles passing by slowly together with distant murmuring,Vehicles stopping silently together with distant shouting,Vehicles passing by loudly together with distant murmuring,A red sedan and a black SUV pass by slowly on a tree-lined street together with distant murmuring from people standing near a park bench.,"Vehicles passing by slowly together with distant murmuring, as if the drivers are cautiously navigating through a quiet neighborhood at dusk, trying not to disturb the peace.","A line of vintage sedans passes by slowly on a misty country road, accompanied by the distant murmuring of a small crowd gathered near a farmhouse gate.",Vehicles passing by loudly together with distant murmuring,Vehicles passing by silently together with distant murmuring,Vehicles passing by slowly together with distant murmuring,A single falling leaf drowns out vehicles passing by slowly together with distant murmuring,Vehicles passing by slowly together with distant murmuring while ocean waves crash nearby.,"A lone violinist plays a melancholy tune in an empty cathedral, echoes drifting through stone arches.","Vehicles passing by slowly together with distant murmuring, as if the drivers are cautiously navigating through a foggy morning while pedestrians whisper about the weather.",A red sedan and a black SUV pass by slowly on a tree-lined street together with distant murmuring from people standing near a park bench.,Vehicles passing by slowly together with distant wind blowing,Distant murmuring is heard.,Vehicles passing by loudly together with distant murmuring,"A lone violinist plays a melancholy tune in an empty cathedral, echoes drifting through stone arches."
22,105639,"Water is trickling, and a man talks","Water is roaring, and a man talks","A man is trickling, and water talks","Water is trickling from a chrome faucet in a kitchen sink, and a bearded man wearing a blue shirt talks while standing next to a window.","Water is trickling, and a man talks nervously, trying to calm himself before an important phone call.","Water is trickling gently from a moss-covered stone fountain in a secluded garden, and a middle-aged man with a slight southern accent talks softly about childhood memories.","Water is trickling, and a man talks loudly.","Still water is trickling, and a man talks","A man talks, and water is trickling",A mouse's squeak drowns out water trickling and a man talking,"Water is trickling, and a man talks while ice cracks underfoot.",A train whistle echoes through a valley as wheels clatter over steel tracks.,"Water is trickling, and a man talks nervously, thinking about his upcoming presentation.","Water is trickling from a chrome faucet in a kitchen sink, and a bearded man wearing a blue shirt talks while standing next to a window.","Water is trickling, and a woman talks",Water is trickling.,"A man is trickling, and water talks",A train whistle echoes through a valley as wheels clatter over steel tracks.
23,105638,Scraping and speech followed by people laughing,Scraping and speech followed by people crying,Scraping and speech followed by people crying,"Scraping and speech followed by people laughing in a kitchen, with one person wearing a red apron and another standing next to a stainless steel sink.","Scraping and speech followed by people laughing, likely because someone made a funny comment while cooking, causing others to burst into laughter.","Scraping and speech followed by people laughing — likely a group of friends in a cozy kitchen, one of them teasingly scraping a fork against a plate while another tells a joke, causing everyone to burst into hearty laughter.",Scraping and speech followed by one person laughing,Silent scraping and speech followed by people laughing,People laughing followed by scraping and speech,A mouse's squeak overpowers scraping and speech followed by people laughing,Scraping and speech followed by people laughing while ice cracks underfoot,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Scraping and speech followed by people laughing, likely because someone made a funny comment while cooking, causing the group to burst into laughter.","Scraping and speech followed by people laughing in a kitchen, with one person wearing a red apron and another standing near a window.",A door creaking and speech followed by people laughing,People are laughing.,Scraping and speech followed by people crying,Wind howls through narrow alleyways as distant thunder rumbles overhead.
24,105630,"Birds are squawking, and ducks are quacking","Birds are silent, and ducks are quiet","Ducks are squawking, and birds are quacking",Birds are squawking in a tree while ducks are quacking in a pond next to a wooden dock.,"Birds are squawking, and ducks are quacking, likely alarmed by a predator approaching the pond.",A flock of seagulls is squawking loudly near a lakeside park while a group of mallard ducks quacks rhythmically from the water’s edge.,"One bird is squawking, and ducks are quacking","Silent birds are squawking, and ducks are quacking","Birds are squawking, and ducks are quacking",A single falling feather drowns out birds squawking and ducks quacking.,"Birds are squawking, and ducks are quacking while a frozen lake creaks underfoot.",A train whistle echoes through a valley as wheels clatter over steel tracks.,"Birds are squawking, and ducks are quacking, likely alarmed by a predator approaching the pond.","Birds are squawking in a tree next to a pond, and brown ducks are quacking while swimming in the water.","Birds are squawking, and geese are honking",Birds are squawking.,"Ducks are squawking, and birds are quacking",A train whistle echoes through a valley as wheels clatter over steel tracks.
