idx,audiocap_id,original_caption,pos_longer,pos_paraphrase,pos_active_passive,pos_split_sentences,pos_figurative_literal
22,105639,"Water is trickling, and a man talks","There is the sound of water trickling, and simultaneously a man is producing spoken vocalizations.",The patter of flowing water accompanies a male vocalizing,"Water trickles, and a man is talking.","Water is trickling. At the same time, a man talks.",Water trickles softly as a man's voice carries through the space.
23,105638,Scraping and speech followed by people laughing,"The sound of scraping occurs, followed by speech, and then the sound of people laughing can be heard.",The sound of scraping and talking gives way to the chuckles of individuals,People laugh after scraping and speech.,Scraping occurs. Speech follows. People laugh after that.,Scraping and chatter give way to laughter bubbling up.
24,105630,"Birds are squawking, and ducks are quacking","There are birds producing squawking sounds, and simultaneously ducks are making quacking noises.",The yelps of avians mix with the calls of waterfowl,"Squawking is being done by birds, and quacking is being done by ducks.",Birds are squawking. Ducks are quacking.,"Birds squawk and ducks quack, their calls filling the air."
25,105633,Repeated gunfire and screaming in the background,"In the background, there are repeated sounds of gunfire occurring alongside screaming noises.","From behind the scene, the sharp cracks of repeated shots mingle with piercing cries",Screaming and repeated gunfire are heard in the background.,"Repeated gunfire is heard. At the same time, screaming is heard in the background.","Repeated gunfire cracks through the air, mingled with screams echoing in the background."
26,105632,An aircraft engine is taking off,The engine of an aircraft is in the process of producing the sounds associated with takeoff.,The roar of a plane's engine rises as it lifts off,An aircraft engine takes off.,An aircraft engine is taking off.,An aircraft engine roars to life as it lifts off.
27,105635,Water running with a main is speaking,"There is the sound of water running, and at the same time a main is producing speaking sounds.",The flow of water coincides with a person vocalizing,A main is speaking with water running.,"Water is running. At the same time, a man is speaking.",Water runs while a man speaks.
28,105634,A female speaking with some rustling followed by another female speaking,"A female is heard speaking, accompanied by some rustling sounds, after which another female begins to speak.","One woman utters words as faint rustling occurs, then another female addresses the scene","Some rustling is followed by a female speaking, then another female speaking.",A female is speaking. Some rustling occurs. Another female is speaking.,"A woman's voice speaks, accompanied by a rustle, then another woman's voice carries through."
29,105637,Males speaking and then a clock ticks twice,"There are males who are speaking, and following that, a clock is heard making ticking sounds two times.","Voices from men are heard, followed by two ticks from a timepiece","Speech is heard from males, followed by a clock ticking twice.","Males are speaking. Then, a clock ticks twice.","Men's voices fade as a clock ticks twice, marking the seconds."
30,105636,An engine revving and then tires squealing,"There is the sound of an engine revving, followed by the sound of tires producing squealing noises.","The roar of a motor rises, followed by the sharp screech of rubber",Tires squealing after an engine is revved,"An engine is revving. Then, tires are squealing.","An engine roars to life, then tires screech as they grip the pavement."
31,102942,A woman speaking followed by a porcelain plate clanking as food and oil sizzles,"A woman is heard speaking, and after her speech concludes, there is the sound of a porcelain plate clanking, accompanied by the sizzling of food and oil.","After a female vocalizes, the clatter of ceramic joins the hiss of cooking fat and fare",Speech by a woman is followed by the clanking of a porcelain plate as food and oil sizzle.,"A woman is speaking. Then, a porcelain plate clanks. At the same time, food and oil sizzle.","A woman's voice trails off as a porcelain plate clanks, then food and oil sizzle like a quiet fire in the pan."
32,102943,An engine hums as it idles,An engine is producing a continuous humming sound while it remains in an idling state.,The low drone of a motor emerges while it remains stationary,An engine is humming as it is idled.,An engine hums. It is idling.,An engine's hum fills the air as it idles
33,102940,Blowing of a horn as a train passes,The sound of a horn being blown is audible as a train is passing by.,The blast of a horn emerges as a train moves by,A train passes as a horn is blown.,"A horn is blowing. At the same time, a train is passing.",A horn blasts as a train rumbles past.
34,102941,Short spray followed by louder longer spray,"A brief spray sound occurs, followed by a more intense and prolonged spray sound.","A brief mist emerges, then gives way to a more forceful, extended burst",A louder longer spray follows a short spray.,"Short spray occurs. This is followed by a louder, longer spray.","A quick burst of spray gives way to a louder, lingering hiss."
35,102946,A motor is revving and changing gears,A motor is producing revving sounds and is in the process of changing gears.,The engine's whine shifts as it cycles through its gear settings,Gears are being changed and a motor is being revved.,"A motor is revving. At the same time, it is changing gears.","A motor growls as it shifts gears, its roar rising and falling with each change."
36,102947,Humming from an engine slowing down then speeding up,There is a humming sound originating from an engine that is first slowing down and then subsequently speeding up.,The engine's low hum dips and then rises as it shifts pace,An engine is heard humming as it slows down then speeds up.,"The engine is slowing down, humming. Then it speeds up, still humming.",The engine's hum dips and swells like a breath catching and releasing.
37,102944,A baby cries as a woman speaks with other speech background noise,"A baby is emitting crying sounds while a woman is speaking, accompanied by additional background noise consisting of other speech sounds.",The wails of an infant coincide with a woman's vocalizations amid murmurs from behind the scene,A woman speaks with other speech background noise as a baby is crying.,"A baby cries. At the same time, a woman speaks. There is other speech background noise.","A baby's cries pierce through the air as a woman speaks, her voice mingling with other muffled speech in the background."
38,102945,Ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,"The sound of ocean waves crashing can be heard from a distant location, while a young girl is speaking, followed by a young man also speaking, and in the background, a group of children are producing laughter sounds, accompanied by wind blowing directly into the microphone.","From afar, the slap of sea swells coincides with a girl’s voice, then a boy’s, while chuckles from kids rise behind and a breeze rushes over the mic","Ocean waves are heard crashing in the distance as a young girl is talking, followed by a young man talking while laughter from a group of children is heard in the background and wind is blowing into a microphone","Ocean waves are crashing in the distance. A young girl is talking. Then a young man talks. At the same time, a group of children laughs in the background. Wind is blowing into a microphone.","Ocean waves crash far off, their rhythm underpinning a young girl’s voice, then a young man’s, while children’s laughter bubbles up behind and wind sighs into the mic."
39,102948,"An adult female speaks, and muted speech occurs briefly in the background","An adult female is heard speaking, and in the background, there is a brief occurrence of muted speech sounds.",A grown woman vocalizes while faint utterances briefly emerge from behind the scene,"Speech is spoken by an adult female, and muted speech is briefly heard in the background.","An adult female speaks. At the same time, muted speech occurs briefly in the background.","A woman's voice speaks clearly, while faint chatter briefly drifts through the background."
40,103707,A metal clank followed by motor vibrating and rumbling,"There is the sound of a metal clank occurring first, followed by the sound of a motor that is vibrating and also producing a rumbling noise.",A metallic clang gives way to the thrum and buzz of an engine at work,Motor vibrating and rumbling followed by a metal clank.,"A metal clank occurs. After that, a motor vibrates and rumbles.","A sharp metal clank rings out, then a motor's vibration hums and rumbles beneath it."
41,103706,Music and a man speaking followed by bleeps and someone singing,"There is the sound of music playing alongside a man who is speaking, and then this is followed by the occurrence of bleeping sounds and the audible presence of someone singing.",Melodic tones and a male voice are succeeded by electronic beeps alongside a person vocalizing,Bleeps and someone singing follow music and a man speaking.,"Music plays. A man is speaking. Then, bleeps sound. Someone is singing.","Music and a man’s voice weave together, then give way to sharp bleeps and a singer’s voice carrying through."
42,103705,Motorboat engine screams as it accelerates,The engine of a motorboat is producing a screaming sound as it undergoes acceleration.,The roar of a motorboat’s engine rises sharply with its acceleration,The acceleration is accompanied by a screaming motorboat engine.,Motorboat engine screams. It accelerates.,The motorboat engine lets out a piercing scream as it speeds up.
43,103704,A man speaking followed by another man speaking with some rustling,"A man is producing speech sounds, and after that, another man is also producing speech sounds, accompanied by some rustling noises.","After one guy vocalizes, another chimes in amid faint rustling sounds",Speech from a man is followed by speech from another man with some rustling.,"A man is speaking. After that, another man speaks. There is some rustling.","A man's voice fills the air, then another man's voice comes in, layered with rustling sounds."
44,103703,A vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone,"There is the sound of a vehicle horn producing honking noises, which is then followed by the sound of a large truck engine generating accelerating engine sounds, while at the same time a light breeze is blowing and making subtle wind sounds that are being captured by a microphone.","The blare of a car horn gives way to the rumble of a heavy truck’s motor revving up, as a gentle breeze whispers across the mic",A series of honks from a vehicle horn is followed by the acceleration of a large truck engine while light wind blows into a microphone.,"A vehicle horn honks. Then, a large truck engine accelerates. At the same time, wind blows lightly into a microphone.","A vehicle horn rings out, then a large truck engine roars to life as a gentle breeze whispers into the microphone"
45,103702,"Many insects are buzzing and rustling is occurring, while an adult male speaks","There are many insects producing buzzing sounds, and rustling noises are occurring simultaneously, while an adult male is speaking.",The hum and stir of numerous bugs fill the air as a man addresses the scene,Many insects buzz and rustle while an adult male speaks.,"Many insects are buzzing. Rustling is occurring. At the same time, an adult male speaks.","The air hums with buzzing insects and the rustle of their movement, as an adult male’s voice carries through the scene."
46,103701,People speaking with loud bangs followed by a slow motion rumble,"There are people who are speaking, accompanied by loud bangs that occur, and then these are followed by a slow motion rumble that can be heard.","Voices converse as forceful impacts erupt, then a deep, drawn-out growl follows",Loud bangs are followed by a slow motion rumble as people speak.,People are speaking. Loud bangs occur. This is followed by a slow motion rumble.,"Voices rise amid sharp bangs that give way to a slow, rumbling echo."
47,107162,A couple of men speaking as metal clanks and a power tool operates,"There are a couple of men who are speaking, and at the same time, metal is making clanking sounds while a power tool is actively operating.",The clatter of metal and the hum of a power tool accompany the conversation of a few males,Metal clanks and a power tool operates as a couple of men speak.,"A couple of men are speaking. At the same time, metal clanks. Also at the same time, a power tool operates.",A couple of men chatting while metal clanks and a power tool whirs to life.
48,103709,A man speaks and then whistles,"A man is heard speaking, and following that, he produces whistling sounds.","After vocalizing, a guy emits a whistle",Speech and then whistling are produced by a man.,A man speaks. Then he whistles.,"A man's voice speaks, then his whistle rings out."
49,107284,Bells ring followed by humming and vibrations as a train passes while blowing a horn,"The sound of bells ringing is heard, followed by a humming noise and vibrations occurring as a train moves past while simultaneously emitting the sound of a horn being blown.","As a train moves by, its horn blares, and then the chime of bells gives way to a low hum and tremors.",Humming and vibrations are followed by bells ringing as a train passes while a horn is blown.,"Bells ring. Then, humming and vibrations occur. At the same time, a train passes while blowing a horn.","Bells chime, then a low hum and rumble rise as a train rumbles past, its horn blaring through the air."
50,107285,A vehicle engine revving as a crowd of people talk,"The sound of a vehicle engine is revving, accompanied by the sound of a crowd of people engaged in conversation.",The roar of a motor rises as voices from a group of folks mingle,A crowd of people talk as a vehicle engine is being revved.,"A vehicle engine is revving. At the same time, a crowd of people are talking.","A vehicle engine revs, its growl rising above the murmur of a crowd talking."
51,107283,Several ducks quack and chirp as men speak and wind blows,"There are several ducks producing quacking and chirping sounds, while at the same time men are speaking and the wind is blowing.",The yelps and cheeps of multiple waterfowl mingle with the murmur of males and the rustle of breeze,Quacking and chirping of several ducks is heard as speech from men and blowing of wind occur.,"Several ducks quack and chirp. At the same time, men speak and wind blows.","Ducks quack and chirp, their calls mingling with men’s voices as the wind whispers through the space."
52,107280,A woman talking as a baby talks followed by plastic thumping,"A woman is engaged in talking, and simultaneously a baby is also making talking sounds, followed by the sound of plastic objects thumping.","The sound of a female conversing overlaps with an infant’s vocalizations, then a plastic object thuds","A baby talks as a woman talks, followed by thumping of plastic.","A woman is talking. A baby is talking. At the same time, plastic is thumping.","A woman's voice weaves through a baby's babble, then plastic thumps sharply."
53,107288,A sewing machine operating as a machine motor hisses loudly in the background,"A sewing machine is operating, and in the background, the machine's motor is producing a loud hissing sound.",The whir of a sewing device is underscored by the piercing hiss of its motor from behind the scene,A machine motor hisses loudly in the background as a sewing machine operates.,"A sewing machine is operating. At the same time, a machine motor hisses loudly in the background.","A sewing machine hums along, its motor hissing loudly in the background."
54,107289,Digital beeps repeating then a person speaks,"There are repeating digital beeping sounds occurring, followed by the audible speech of a person.",A sequence of electronic pings gives way to someone vocalizing,A person speaks after digital beeps repeat,"Digital beeps repeat. Then, a person speaks.","Digital beeps pulse through the air, then a voice breaks in."
55,105082,A man and woman laughing followed by a man shouting then a woman laughing as a child laughs,"There is the sound of a man and a woman producing laughter, followed by the sound of a man shouting, and then again a woman laughing, accompanied simultaneously by the sound of a child laughing.","After a male and female share chuckles, a guy raises his voice, then a woman’s laughter joins a child’s giggles.","Laughing from a man and woman is followed by shouting from a man, then laughing from a woman as a child laughs.","A man and woman are laughing. Then a man shouts. After that, a woman laughs as a child laughs.","Laughter from a man and woman spills out, then a man's shout cuts through before a woman's laugh and a child's giggles join in."
56,81991,Crumpling paper noise with female speech,The sound of paper being crumpled is present alongside the audible speech of a female individual.,The rustle of crumpled sheets accompanies a woman’s voice,Female speech is accompanied by crumpling paper noise.,"Crumpling paper noise. At the same time, a female is speaking.",The crumple of paper mingles with a woman's voice.
57,19586,A bell is ringing loudly and quickly,A bell is producing ringing sounds that are both loud and occurring at a rapid pace.,"The forceful, rapid chime of a bell fills the air",Someone is ringing a bell loudly and quickly.,"A bell is ringing loudly. At the same time, it is ringing quickly.","A bell rings out, fast and loud, filling the air."
58,103478,Several birds chirp with some hissing,"There are several birds producing chirping sounds, accompanied by some hissing noises.",The air carries the chirps of multiple avians alongside faint hissing sounds,Some hissing is accompanied by chirping of several birds.,"Several birds chirp. At the same time, there is some hissing.","Birds chirp all around, their sounds mingling with a soft hiss that fills the air."
59,103475,A man speaking as a crowd of people laugh and applaud,"A man is heard speaking, while simultaneously a crowd of people are producing sounds of laughter and applause.","Amidst the laughter and clapping of a group, a male is vocalizing",A crowd of people laugh and applaud as a man is speaking.,"A man is speaking. At the same time, a crowd of people laugh and applaud.",A man's voice carries through the room as laughter and applause rise around him.
60,103474,A small motor buzzing followed by a man speaking as a metal door closes,"There is the sound of a small motor producing a buzzing noise, followed by the auditory presence of a man speaking, while simultaneously a metal door is being closed.","A low hum from a compact engine fades as a male voice emerges, coinciding with the clank of a metallic door shutting","A man speaks as a metal door closes, following a small motor buzzing.","A small motor is buzzing. Then, a man speaks. At the same time, a metal door closes.","A small motor hums, then a man's voice cuts through as a metal door clangs shut."
61,103477,Clip-clops gallop as the wind blows and thunder cracks,"The sound of clip-clops is heard as they gallop, while simultaneously the wind is blowing and thunder is cracking.",The patter of hooves galloping coincides with gusts of wind and the sharp crack of thunder,The wind is blowing and thunder is cracking as clip-clops gallop.,Clip-clops gallop. The wind blows simultaneously. Thunder cracks.,Horse hooves clip-clop quickly while wind blows and thunder makes a sharp cracking sound
62,106483,Electronic beeping as a man talks and water pouring in the background,"There is the sound of electronic beeping occurring simultaneously with a man speaking, and in the background, water is being poured, producing a continuous pouring sound.","The background is filled with the patter of pouring water and electronic pings, while a male vocalizes",A man talks and water pours in the background as electronic beeping is heard.,"Electronic beeping is heard. At the same time, a man talks. Water is pouring in the background.","Electronic beeps chirp as a man speaks, with water pouring softly behind the sounds."
63,103470,Food and oil sizzling as a woman is talking followed by dinner plates clanking,"The sound of food and oil sizzling is present while a woman is engaged in talking, and this is followed by the audible clanking of dinner plates.","The sizzle of cooking fat and fare accompanies a woman’s voice, then dinnerware rattles in sequence","A woman talks as food and oil sizzle, followed by dinner plates clanking.",Food and oil are sizzling. A woman is talking. Dinner plates clank afterward.,"Food and oil sizzle like a whisper beneath a woman’s voice, then dinner plates clank sharply nearby."
64,103472,Wind blowing followed by people speaking then a loud burst of thunder,"The sound of wind blowing is heard, which is then followed by the sound of people speaking, and after that, there is a loud burst of thunder.","After a gust sweeps through, voices emerge, soon overtaken by a piercing clap of thunder","People are spoken to after wind is blown, then a loud burst of thunder is heard.","Wind is blowing. Then, people are speaking. After that, there is a loud burst of thunder.","Wind sweeps through, then voices rise, and thunder crashes suddenly."
65,106621,A heavy rain dies down and begins again,"The sound of heavy rain gradually diminishes, then commences once more.","The downpour lessens, then resumes with renewed intensity",The dying down and restarting of heavy rain can be heard.,A heavy rain dies down. Then it begins again.,"The heavy rain fades to a whisper, then surges back again."
66,104751,A train sounds horn while traveling on train track,A train is emitting the sound of its horn while it is in motion traveling along the train track.,The blast of a locomotive's horn rises as it moves along the rails,The horn is sounded by a train while traveling on a train track.,"A train is traveling on a train track. At the same time, it sounds its horn.",A train's horn rings out as it rolls along the tracks.
67,104753,A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing,"A man is heard speaking over an intercom system, while simultaneously the engine of a helicopter is running, and after that sequence, several gunshots are fired.","The voice of a male emerges through a PA system while a chopper's motor hums, then multiple shots crack the air.","An intercom is spoken over by a man as a helicopter engine runs, followed by several gunshots being fired.","A man is speaking over an intercom. At the same time, a helicopter engine is running. Then, several gunshots fire.","A man's voice crackles over the intercom, drowned out briefly by the roar of a helicopter engine, then shattered by a burst of gunshots."
68,104752,A man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,"A man is heard talking, and after that, a goat is producing baaing sounds, followed by the sound of a metal gate sliding open or shut, while at the same time ducks are making quacking noises and wind is blowing directly into the microphone.","After a person vocalizes, the bleat of a goat emerges, then the scrape of a metallic barrier glides as duck calls and gusts rush toward the mic","Talking by a man is followed by baaing from a goat, then sliding of a metal gate while quacking from ducks and blowing of wind into a microphone","A man is talking. Then, a goat baas. After that, a metal gate slides. At the same time, ducks quack and wind blows into a microphone.","A man's voice trails off as a goat's baa cuts in, then a metal gate grinds open while ducks quack and wind hisses into the mic"
69,104757,Motorcycle engine running,The engine of a motorcycle is currently operating and producing its characteristic running sound.,The rumble of a motorbike's engine fills the air,The running of a motorcycle engine can be heard.,Motorcycle engine running.,A motorcycle engine hums steadily.
70,104756,A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,"A vehicle door is being opened, accompanied by the sound of a crow emitting a cawing call and other birds producing chirping vocalizations, while in the background, vehicles are moving past, generating the associated sounds of their motion.","The caw of a crow and the chirping of birds accompany the sound of a car door swinging open, with traffic rumbling behind the scene",A crow caws and birds chirp as a vehicle door is opened and vehicles are driven by in the background.,"A vehicle door opens. At the same time, a crow caws and birds chirp. Vehicles drive by in the background.","A vehicle door creaks open as a crow's caw pierces the air, birds chirp nearby, and traffic hums steadily in the background."
71,105402,An engine running and wind with various speech in the background,"There is the sound of an engine operating continuously, accompanied by the presence of wind making audible gusts, and various instances of human speech can be heard occurring in the background.",The hum of a motor blends with gusts of air and scattered voices drifting from behind the scene,"Wind and an engine running are heard, with various speech in the background.",An engine is running. Wind is blowing. Various speech is audible in the background.,"An engine hums steadily as wind whispers past, with voices murmuring in the background."
72,105403,A drone whirring followed by a crashing sound,"There is the sound of a drone producing a continuous whirring noise, which is then followed by the occurrence of a crashing sound.",The hum of a drone gives way to the thud of something falling,A crashing sound follows a drone whirring.,"A drone is whirring. Then, a crashing sound occurs.","A drone's whirring fills the air, then a crashing sound breaks through."
73,105400,A man talking as a helicopter flies by,"A man is heard talking while, at the same time, a helicopter is flying by and making its characteristic flying sounds.","As a chopper passes overhead, a guy is conversing",A helicopter is flown by as a man talks.,"A man is talking. At the same time, a helicopter is flying by.",A man's voice carries through the air as a helicopter thunders overhead.
74,106661,"Screaming, wind and an engine running, and laughing","There are sounds of screaming, the wind blowing, an engine operating, and laughing occurring simultaneously.",The howl of wind mingles with the roar of a running engine and bursts of laughter,"Screaming, wind, and an engine running are heard, and laughing is audible.",Screaming is heard. Wind is blowing. An engine is running. Laughing is occurring.,Screaming cuts through the wind as an engine hums and laughter rings out.
75,106667,A series of computer mouse clicks followed by a kid crying,"There is a sequence of clicking sounds made by a computer mouse, followed by the audible crying of a child.","After several clicks from a computer mouse, the wails of a child rise up",A kid crying is followed by a series of computer mouse clicks,"A series of computer mouse clicks occurs. Then, a kid cries.","A string of mouse clicks rings out, then a kid's cry pierces the air."
76,106666,A series of electronic beeps followed by static,"There is a sequence of electronic beeping sounds that occur one after another, and then these are followed by the sound of static noise.",A sequence of digital pings gives way to crackling noise,Static follows a series of electronic beeps.,A series of electronic beeps occurs. This is followed by static.,"A string of electronic beeps rings out, then gives way to a hiss of static."
77,106665,Loud snoring repeating,There are loud snoring sounds occurring repeatedly.,"The forceful, recurring sound of someone sleeping deeply",Repetition of loud snoring can be heard.,Loud snoring repeats.,"Loud snoring echoes through the space, repeating like a steady drumbeat."
78,106664,Water pouring down a drain with a series of metal clangs followed by a metal chain rattling,"The sound of water flowing downward into a drain is occurring, accompanied by a sequence of metallic clanging noises, which are then followed by the audible rattling of a metal chain.","A cascade of water flows into a drain, punctuated by sharp metallic knocks and then the clatter of a chain.",A series of metal clangs followed by a metal chain rattling is heard as water pours down a drain.,"Water is pouring down a drain. This is followed by a series of metal clangs. Then, a metal chain rattles.","Water gushes down the drain, punctuated by sharp metal clangs, then a chain rattles like loose beads in a tin."
79,106669,A man talking as water splashes,"A man is heard talking, and simultaneously water is making splashing sounds.","Amid the slosh of water, someone is vocalizing",Water splashes as a man is talking.,"A man is talking. At the same time, water is splashing.",A man's voice drifts under the patter of splashing water.
80,106668,Wind blowing and water splashing,"The sound of wind blowing is present, accompanied by the sound of water making splashing noises.",The patter of water coincides with gusts sweeping through the air,Wind is being blown and water is being splashed.,Wind is blowing. Water is splashing.,Wind whispers through the air as water splashes nearby.
